,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
20120712,99.87,3.51,4.34,2.46,1.88,223.38,5.18,6.7,3.81,2.89,224.38
20120713,99.81,3.45,4.5,1.4,3.1,247.62,5.05,7.09,2.47,4.61,248.31
20120714,99.69,3.6,4.92,2.53,2.39,213.0,5.25,7.34,3.26,4.08,213.81
20120715,99.79,5.1,6.11,3.77,2.34,192.44,6.93,7.97,5.38,2.59,193.19
20120716,99.95,4.25,5.35,3.3,2.05,193.25,5.83,7.69,3.93,3.75,193.94
20120717,99.86,4.22,5.43,2.79,2.64,233.25,6.16,7.85,4.87,2.98,233.94
20120718,99.62,3.51,4.88,1.52,3.36,236.69,5.19,7.32,1.77,5.55,238.12
20120719,99.48,2.65,4.2,0.61,3.59,181.38,3.85,6.46,0.92,5.54,181.69
20120720,99.44,2.62,4.3,0.38,3.91,204.81,4.0,7.06,0.39,6.67,204.88
20120721,99.57,3.73,5.74,2.41,3.32,160.44,5.4,7.05,3.58,3.48,160.56
20120722,99.55,5.32,6.53,2.88,3.65,190.75,7.26,9.31,5.2,4.11,191.25
20120723,99.36,4.94,5.91,3.45,2.46,203.75,6.84,8.73,5.17,3.56,204.75
20120724,99.34,4.4,5.48,3.65,1.84,206.56,6.15,7.71,4.15,3.57,207.62
20120725,99.44,2.81,3.91,1.6,2.31,178.31,4.19,6.16,1.67,4.49,178.38
20120726,99.31,2.66,4.37,1.58,2.78,110.5,4.0,5.15,3.05,2.1,110.44
20120727,99.25,3.05,4.71,1.07,3.64,209.0,4.34,7.43,1.38,6.05,210.31
20120728,99.41,3.95,5.46,2.31,3.15,219.56,5.57,7.83,3.44,4.39,220.69
20120729,99.54,4.47,5.28,2.85,2.42,204.06,6.28,7.63,5.12,2.51,205.25
20120730,99.4,3.32,4.6,1.3,3.3,172.5,4.83,6.36,2.59,3.77,172.94
20120731,99.35,4.0,6.12,0.24,5.88,204.12,5.48,8.84,0.59,8.25,205.88
20120801,99.35,3.46,5.16,2.18,2.98,225.44,5.02,7.64,2.42,5.23,227.69
20120802,99.43,2.7,4.42,0.62,3.8,188.31,3.84,6.67,1.08,5.59,189.75
20120803,99.27,3.52,6.5,1.41,5.09,159.5,5.35,8.08,2.98,5.1,160.0
20120804,99.23,2.74,4.66,1.41,3.24,130.75,4.09,6.94,2.77,4.17,129.94
20120805,99.4,5.3,6.89,3.99,2.91,147.75,7.36,8.62,6.68,1.93,148.38
20120806,99.58,5.09,6.99,2.88,4.11,165.56,7.06,8.48,5.61,2.87,166.06
20120807,99.75,3.83,4.7,3.19,1.52,188.88,5.66,7.68,3.93,3.76,189.81
20120808,99.77,3.17,4.48,1.82,2.66,233.5,4.85,7.2,2.8,4.39,234.19
20120809,99.53,1.86,3.6,0.91,2.68,179.06,2.91,5.8,1.49,4.31,179.0
20120810,99.45,4.31,6.54,2.17,4.37,133.31,6.12,8.55,4.27,4.28,133.69
20120811,99.77,3.52,4.68,2.4,2.29,163.5,5.34,7.25,3.9,3.35,163.94
20120812,99.91,2.96,4.25,2.01,2.24,193.0,4.6,6.9,3.02,3.88,194.06
